Area,Crime_Type,Number_of_Crimes,Latitude,Longitude
Basavanagudi,Cyber Crime,7,12.940181062486886,77.57727090518466
Jayanagar,Eve-Teasing,6,12.925003797894545,77.59364120273887
Vijayanagar,Burglary,7,12.97439234294499,77.55535892816597
Malleshwaram,Molestation,3,13.003151044775683,77.57274811605012
HSR Layout,Assault,6,12.915984267032485,77.63733077649071
Banashankari,Murder,8,12.915757894606552,77.57215206163528
Hebbal,Pickpocket,8,13.034244343168652,77.59574782270383
Electronic City,Kidnapping,8,12.844511635160806,77.65718455357361
Rajajinagar,Murder,8,12.995507867409962,77.5538684458491
Rajajinagar,Chain Snatching,3,12.99373002086473,77.55931787262192
Koramangala,Pickpocket,10,12.935493680183008,77.61982086939386
Malleshwaram,Molestation,6,13.006351247659673,77.57362086284074
Banashankari,Chain Snatching,1,12.912490208277248,77.57010517800695
Hebbal,Cyber Crime,8,13.031054462739172,77.59177689127391
Jayanagar,Pickpocket,6,12.921482273537077,77.59671010973585
Marathahalli,Chain Snatching,7,12.95430248571915,77.70525937741738
Ulsoor,Eve-Teasing,6,12.979643487390687,77.63099152132074
Whitefield,Theft,1,12.974465896004792,77.74566343787232
BTM Layout,Murder,6,12.916472657710734,77.61080881675456
Basavanagudi,Burglary,7,12.941789485947524,77.57589605775811
Ulsoor,Molestation,6,12.984575601369206,77.62493989629252
Yeshwanthpur,Kidnapping,9,13.016124830863046,77.55389721150304
Bellandur,Chain Snatching,9,12.923328005164029,77.68572156492152
Marathahalli,Pickpocket,1,12.955574424300492,77.70449879833575
HSR Layout,Theft,2,12.911667879812127,77.63906723043881
Malleshwaram,Theft,2,13.00685739924089,77.57270230893306
Whitefield,Pickpocket,4,12.974323038959094,77.74602034228933
Koramangala,Molestation,4,12.930983651531271,77.62239615554464
Banashankari,Theft,6,12.911292935257656,77.57766017553371
Hebbal,Assault,9,13.035159151073483,77.58848938924827
Ulsoor,Pickpocket,1,12.985654693729096,77.62933646642352
Ulsoor,Molestation,4,12.98451866328423,77.62422103520534
BTM Layout,Assault,5,12.913454028548793,77.6094857445774
BTM Layout,Theft,3,12.917089952158525,77.60741505837018
Yeshwanthpur,Theft,1,13.01690361683566,77.55288901186647
Vijayanagar,Assault,6,12.972673127580883,77.55461025041018
Basavanagudi,Murder,6,12.945723421174488,77.57848417398102
HSR Layout,Assault,7,12.9104796619523,77.64534565421852
Ulsoor,Murder,8,12.987956288593447,77.62986769711195
Whitefield,Burglary,2,12.972569181947206,77.74995173919757
Indiranagar,Molestation,4,12.976529293184365,77.64411640692956
BTM Layout,Theft,10,12.914306485185692,77.61388341552508
Jayanagar,Molestation,10,12.92459344079294,77.5912068284213
Indiranagar,Burglary,10,12.97655504682601,77.6461153690293
KR Puram,Eve-Teasing,9,13.007556615664136,77.69297987526885
Indiranagar,Cyber Crime,9,12.97254286569259,77.640238135043
MG Road,Pickpocket,2,12.977359800299473,77.60855056774655
Hebbal,Molestation,1,13.036514979074541,77.58792515631212
Koramangala,Assault,4,12.934505938769421,77.61958699843376
Hebbal,Kidnapping,1,13.036417706376804,77.59511039576228
Bellandur,Assault,3,12.921016138155935,77.68611796187756
Bellandur,Kidnapping,1,12.928491792500221,77.68016664415903
Bellandur,Pickpocket,4,12.927959025093418,77.6856341924225
Malleshwaram,Kidnapping,9,13.001099417982902,77.56832965436176
Electronic City,Pickpocket,3,12.846822329638915,77.66310485709906
Banashankari,Assault,5,12.916916185388894,77.5745769778129
Marathahalli,Burglary,5,12.955513456497046,77.7034056784293
Koramangala,Kidnapping,7,12.935050113828076,77.62834445541513
Marathahalli,Burglary,8,12.957359079351424,77.70688852017656
Electronic City,Chain Snatching,5,12.847655176219625,77.66264149669833
Electronic City,Theft,6,12.8431223938313,77.66362208565822
Vijayanagar,Assault,5,12.968701366692192,77.55352209658967
Banashankari,Burglary,7,12.916752126127987,77.56889844872146
Banashankari,Assault,2,12.908741376592454,77.57087247454834
Yeshwanthpur,Theft,1,13.013285223925873,77.55899752554325
Rajajinagar,Assault,6,12.9892161778094,77.55437515418427
Rajajinagar,Molestation,10,12.994506316341377,77.55853508609664
Rajajinagar,Kidnapping,2,12.988167733907144,77.5543098978151
BTM Layout,Chain Snatching,6,12.916791285889783,77.60637849829943
Yeshwanthpur,Murder,2,13.015125580307672,77.5514681420113
Yeshwanthpur,Chain Snatching,8,13.01912496977725,77.55351175944723
Ulsoor,Cyber Crime,5,12.985810860018029,77.62973495034917
BTM Layout,Eve-Teasing,7,12.918981010387782,77.60940781361626
Vijayanagar,Eve-Teasing,8,12.967955940444957,77.55184192802133
BTM Layout,Pickpocket,5,12.911766690239908,77.61248467053836
Banashankari,Pickpocket,3,12.912647086063542,77.57742500311328
MG Road,Eve-Teasing,3,12.973345988974277,77.60237316215543
Basavanagudi,Theft,3,12.93906127146116,77.57851822121222
Ulsoor,Eve-Teasing,2,12.97956402093258,77.63220589390043
Basavanagudi,Cyber Crime,1,12.941974979512723,77.57663116103173
Jayanagar,Theft,1,12.927555977325971,77.59501881943584
MG Road,Assault,9,12.971893875167092,77.60849146751815
HSR Layout,Molestation,4,12.913949547676204,77.64388978289546
HSR Layout,Kidnapping,1,12.913579849443344,77.63763256127761
MG Road,Chain Snatching,7,12.973773918068048,77.60895850234029
Hebbal,Burglary,5,13.040065193771644,77.59268428614351
Indiranagar,Burglary,1,12.966978872223729,77.64585822014955
MG Road,Cyber Crime,6,12.972420161102502,77.60174274358017
Rajajinagar,Kidnapping,7,12.99604212034854,77.5561335982131
Indiranagar,Pickpocket,6,12.970896672057673,77.64058775084042
Indiranagar,Cyber Crime,2,12.966823716995128,77.64590774878282
Malleshwaram,Chain Snatching,8,13.005447048649778,77.56807517507383
Ulsoor,Pickpocket,1,12.985345632483048,77.62613591132796
HSR Layout,Burglary,5,12.912767467629726,77.63732118088441
BTM Layout,Assault,8,12.920342032830128,77.60723918816215
HSR Layout,Cyber Crime,4,12.916527422161455,77.64324787318857
Basavanagudi,Theft,10,12.945646054347307,77.57204556563211
Koramangala,Cyber Crime,2,12.938643032491708,77.62601209853194
Banashankari,Molestation,1,12.917103362462722,77.5734626605496
Marathahalli,Assault,1,12.958569122176263,77.69837481618383
HSR Layout,Kidnapping,7,12.915668951301802,77.64600212404368
Marathahalli,Pickpocket,5,12.95434860196776,77.69705121981777
Rajajinagar,Murder,9,12.986106994796724,77.55576726282086
Hebbal,Chain Snatching,4,13.038972012885791,77.59547668589592
MG Road,Assault,5,12.973685372666585,77.60208092860054
Bellandur,Chain Snatching,8,12.922541257019612,77.68376932138202
Ulsoor,Murder,10,12.986728917368845,77.63147328443074
Basavanagudi,Murder,6,12.941421372003655,77.57060565174336
Ulsoor,Assault,1,12.97883966577364,77.62664036109125
Jayanagar,Murder,5,12.925819286955138,77.59028306156084
Vijayanagar,Burglary,8,12.976217735781114,77.5616675097984
Indiranagar,Burglary,1,12.969769413287773,77.64540887183361
Koramangala,Eve-Teasing,2,12.934296415518869,77.62562944057018
BTM Layout,Pickpocket,2,12.919040505524299,77.60687972497644
Basavanagudi,Molestation,6,12.944852528697371,77.57225984310028
Bellandur,Theft,1,12.928582574425574,77.68091035024855
Marathahalli,Assault,4,12.95589172678274,77.70067624811544
Malleshwaram,Chain Snatching,10,12.998415207759484,77.57159358083354
Electronic City,Theft,5,12.846855867390468,77.66306660636722
Electronic City,Eve-Teasing,2,12.841050425176054,77.65593944324308
HSR Layout,Theft,1,12.90682346069605,77.63976712423822
Basavanagudi,Chain Snatching,6,12.942095650786158,77.5717849571903
BTM Layout,Assault,10,12.919696027739743,77.60875288536172
HSR Layout,Murder,6,12.915206225254108,77.64553463168636
BTM Layout,Assault,5,12.92142452307902,77.61091574946235
KR Puram,Cyber Crime,2,13.01492498432871,77.69848142354333
Banashankari,Pickpocket,8,12.916802583354169,77.5734178542202
Ulsoor,Molestation,7,12.979367093906081,77.62561606722375
KR Puram,Pickpocket,4,13.0094887136962,77.69113176494082
Basavanagudi,Cyber Crime,6,12.946137375884183,77.57322289318216
Hebbal,Cyber Crime,5,13.039913049892503,77.59017539324981
Koramangala,Molestation,6,12.933746866850813,77.62641257901831
Rajajinagar,Theft,3,12.992044045113941,77.55636235331292
Indiranagar,Assault,1,12.967709128236946,77.64074875398686
MG Road,Murder,2,12.978153028772963,77.6011188575242
HSR Layout,Murder,6,12.90921230003296,77.64003995862907
Vijayanagar,Assault,2,12.97583326718453,77.56161235476146
Marathahalli,Theft,1,12.953073421945836,77.6986689328262
Basavanagudi,Eve-Teasing,1,12.946032737355953,77.56884452573746
MG Road,Murder,10,12.972736131189222,77.608588882756
Koramangala,Molestation,3,12.934310302801157,77.6214322111121
Electronic City,Assault,4,12.842920028719043,77.66095305429408
BTM Layout,Kidnapping,7,12.920940381418612,77.61257658248812
Whitefield,Murder,9,12.966626685123952,77.74622235756661
HSR Layout,Cyber Crime,5,12.915989931009614,77.63986622664997
Frazer Town,Burglary,10,13.002327896366573,77.62715336204205
Whitefield,Assault,3,12.966338366496824,77.74623169733466
Vijayanagar,Pickpocket,5,12.972170066594177,77.56043673375001
Hebbal,Burglary,8,13.03112367626699,77.59442231694268
Jayanagar,Molestation,6,12.92552884427723,77.59641121496186
Vijayanagar,Pickpocket,5,12.971814585727328,77.55657305208126
Frazer Town,Chain Snatching,9,12.999238081512837,77.62143806075342
Ulsoor,Burglary,9,12.97881149387189,77.62549689100466
Yeshwanthpur,Chain Snatching,10,13.021885448558553,77.55874557715488
Yeshwanthpur,Cyber Crime,6,13.020003424895526,77.56017796848151
HSR Layout,Murder,3,12.910925427495995,77.645323143741
Rajajinagar,Eve-Teasing,3,12.99471365423098,77.55659107659524
KR Puram,Kidnapping,6,13.012218819500776,77.69737278057947
Ulsoor,Cyber Crime,1,12.982070024383026,77.63205362895593
Indiranagar,Murder,6,12.973665539353606,77.64322740046062
Rajajinagar,Theft,4,12.996096379003953,77.55200985926555
Electronic City,Burglary,4,12.848578184706536,77.66469410068669
KR Puram,Pickpocket,7,13.012516638808405,77.6965182436913
Basavanagudi,Cyber Crime,4,12.942637562608148,77.57611813696404
Indiranagar,Pickpocket,1,12.971225274670388,77.63889698032611
Ulsoor,Assault,2,12.987503964941135,77.62588223616075
Malleshwaram,Eve-Teasing,4,12.999037534798802,77.56653540349528
Banashankari,Theft,6,12.91113736859426,77.57302558878841
Jayanagar,Murder,9,12.927915186347741,77.5928010537493
Banashankari,Theft,9,12.908791170764554,77.57473796099404
Frazer Town,Molestation,1,12.995042766249984,77.62737057809814
Frazer Town,Chain Snatching,3,12.999813411630404,77.62871130660577
Banashankari,Kidnapping,10,12.909534920835016,77.5708873197937
MG Road,Pickpocket,3,12.973656362750138,77.60511704045265
HSR Layout,Kidnapping,6,12.910595579916492,77.64553844042071
Indiranagar,Kidnapping,9,12.972535648714217,77.64581339792034
Malleshwaram,Murder,5,13.002217102488531,77.56796675570611
Rajajinagar,Cyber Crime,5,12.988545583971357,77.55367525597053
Yeshwanthpur,Eve-Teasing,7,13.022050893525623,77.5511492429306
Basavanagudi,Pickpocket,3,12.946516615058556,77.57233933327606
Vijayanagar,Kidnapping,1,12.970315039055096,77.55633335263583
Bellandur,Assault,8,12.924854364942034,77.68784800056697
Frazer Town,Theft,10,12.998656905255054,77.62365951926692
Indiranagar,Molestation,2,12.968533615305496,77.64614174935701
MG Road,Burglary,6,12.973166292646015,77.60221929286325
Koramangala,Chain Snatching,5,12.933205255540985,77.623506932236
Whitefield,Kidnapping,5,12.965368975444738,77.7531158698602
Koramangala,Theft,5,12.932014135541586,77.62252904084863
KR Puram,Cyber Crime,6,13.005223466009472,77.69209707536115
Malleshwaram,Burglary,6,13.006996583024865,77.56751878007434
Yeshwanthpur,Theft,1,13.018672207414962,77.55619142820855
Frazer Town,Burglary,3,12.99482580217273,77.62134207206411
Hebbal,Kidnapping,8,13.037439931061051,77.58709233691859
Ulsoor,Kidnapping,8,12.986845525535873,77.63011481393642
Marathahalli,Theft,7,12.955647117075547,77.70193117135295
HSR Layout,Burglary,2,12.910436916914033,77.64058941085035
Bellandur,Murder,5,12.92366046186453,77.68695270269652
Indiranagar,Pickpocket,10,12.967650128696762,77.63940662379585
Electronic City,Cyber Crime,5,12.8479166745965,77.66428610043529
HSR Layout,Assault,4,12.90789868317211,77.64368878295949
Yeshwanthpur,Assault,1,13.022269894191611,77.56000228412609
Basavanagudi,Chain Snatching,1,12.940922202014622,77.57020898221893
Jayanagar,Kidnapping,7,12.923967787040063,77.5915159347246
Electronic City,Burglary,10,12.841899480410603,77.65756824071173
Malleshwaram,Murder,3,13.003927386261298,77.57049448166333
MG Road,Chain Snatching,3,12.978053141398691,77.60731311911557
Vijayanagar,Cyber Crime,10,12.973686823097498,77.55875538378157
Frazer Town,Molestation,9,12.999026532036414,77.62322098224878
Ulsoor,Burglary,1,12.983831959774925,77.6318864651055
Jayanagar,Burglary,8,12.92792887044131,77.59149262988659
Hebbal,Molestation,5,13.038573391799057,77.59344109471029
Electronic City,Murder,4,12.848818555443941,77.66422342285641
Electronic City,Cyber Crime,1,12.842039564025741,77.6553462277633
Marathahalli,Theft,7,12.957186090680251,77.69901182855793
Malleshwaram,Burglary,3,13.003619257179082,77.57228669220162
BTM Layout,Kidnapping,1,12.919455598272938,77.60814586678472
Whitefield,Eve-Teasing,6,12.973041910388561,77.74691886422757
Electronic City,Chain Snatching,7,12.841926670687647,77.65666938462478
Hebbal,Theft,6,13.03154835681475,77.59203478688711
Indiranagar,Eve-Teasing,6,12.967686526531875,77.64540418100012
Koramangala,Chain Snatching,1,12.932816151411725,77.62330143673545
Banashankari,Kidnapping,3,12.916553472126823,77.57250746176497
Bellandur,Burglary,8,12.928451441293756,77.68845059720974
Yeshwanthpur,Assault,5,13.019002604248204,77.5548738774367
Jayanagar,Burglary,6,12.926320126276027,77.59600839320011
Koramangala,Murder,7,12.931422179704567,77.62374712844296
Bellandur,Molestation,5,12.928083488461915,77.6840003415483
Indiranagar,Pickpocket,8,12.970077139521901,77.63896442579112
Hebbal,Eve-Teasing,2,13.037288190943661,77.59032875329883
Vijayanagar,Kidnapping,6,12.969925466981078,77.55808005841311
Rajajinagar,Pickpocket,7,12.9943589702207,77.55396845314907
Malleshwaram,Theft,10,13.003135773192351,77.56762731770598
Jayanagar,Molestation,4,12.927279651957798,77.59731817253191
BTM Layout,Murder,1,12.917259675870701,77.6120173777287
Vijayanagar,Murder,4,12.973661047137227,77.55947553295177
Hebbal,Burglary,9,13.034533725450833,77.58663016213393
Malleshwaram,Chain Snatching,10,13.003242161094963,77.57235574812356
Hebbal,Cyber Crime,2,13.036070771481336,77.58964828197809
Banashankari,Pickpocket,8,12.912917040811697,77.57748996798824
Frazer Town,Cyber Crime,7,12.999005155289158,77.62112559397153
Banashankari,Chain Snatching,2,12.911171358100608,77.56949090832492
Rajajinagar,Assault,2,12.988214078078677,77.55684762451222
Banashankari,Theft,4,12.910332993133418,77.57159578654338
Vijayanagar,Chain Snatching,8,12.970291343394676,77.55396516646621
Indiranagar,Assault,10,12.966880131547237,77.63902088172134
Jayanagar,Chain Snatching,10,12.920791454079543,77.59677134117081
Ulsoor,Kidnapping,5,12.987073004681509,77.62323238608154
HSR Layout,Pickpocket,7,12.912189791599003,77.64514044030551
Koramangala,Molestation,5,12.937179517871893,77.62444341857001
Jayanagar,Molestation,7,12.924668705198032,77.59846665860739
MG Road,Chain Snatching,7,12.970485261393039,77.6027751502439
Electronic City,Molestation,1,12.842113613788234,77.65560960987857
Electronic City,Molestation,7,12.846890038855443,77.65771851246103
Frazer Town,Molestation,3,13.000250881033985,77.62635221089658
Vijayanagar,Chain Snatching,9,12.970772463206028,77.5586755419307
MG Road,Eve-Teasing,4,12.976661165714756,77.60390035870323
BTM Layout,Chain Snatching,10,12.915952399680084,77.60844362682434
MG Road,Molestation,10,12.97426509741412,77.60484585948856
Malleshwaram,Pickpocket,2,13.007727093617893,77.57060889139483
HSR Layout,Murder,10,12.911173196676165,77.64539562227189
MG Road,Molestation,1,12.972848466839372,77.60975385741587
Malleshwaram,Molestation,9,13.007534852432618,77.5652682373528
Basavanagudi,Eve-Teasing,7,12.939026543816526,77.57518116298613
Electronic City,Theft,4,12.841203871856393,77.65565078560292
Electronic City,Molestation,8,12.845901203270984,77.65520055101389
Koramangala,Molestation,2,12.930288790513794,77.6248347524166
MG Road,Murder,2,12.974962258456028,77.60378547569596
Basavanagudi,Theft,4,12.941206481321123,77.57456229482878
Electronic City,Cyber Crime,1,12.843370197297334,77.65604590071473
Rajajinagar,Kidnapping,1,12.994012086682902,77.5521067828511
Jayanagar,Pickpocket,3,12.929271030516869,77.58887417595903
Bellandur,Kidnapping,6,12.927306817053363,77.68254493305285
Jayanagar,Molestation,1,12.922355499294845,77.59407245437795
Rajajinagar,Pickpocket,4,12.992906789363213,77.55063424502781
Yeshwanthpur,Chain Snatching,9,13.018139125229323,77.55786990133413
Jayanagar,Burglary,10,12.92188192097002,77.59745276544892
Bellandur,Kidnapping,2,12.923671349434706,77.68033066395557
HSR Layout,Eve-Teasing,9,12.911707821054405,77.6421964742159
Indiranagar,Kidnapping,3,12.968621801196848,77.63990236364408
Marathahalli,Burglary,7,12.952931868897995,77.70113586666615
Whitefield,Chain Snatching,6,12.972055217925359,77.75234519172338
Electronic City,Pickpocket,6,12.84179151880676,77.65570349980118
Yeshwanthpur,Assault,9,13.018685966263046,77.55317347981817
BTM Layout,Cyber Crime,1,12.919913691775642,77.60889866168802
Indiranagar,Theft,4,12.971825503536234,77.64457771884243
Yeshwanthpur,Murder,5,13.018984467983293,77.55159083276872
Malleshwaram,Theft,8,13.00616113256498,77.57215481471545
KR Puram,Murder,2,13.007776146753889,77.6943179274409
Bellandur,Cyber Crime,5,12.922672726462366,77.68555350775712
Koramangala,Pickpocket,10,12.939031631483092,77.6287987425299
Frazer Town,Kidnapping,4,12.996672107288084,77.62681636241713
Banashankari,Chain Snatching,3,12.91554418333717,77.57036412821407
Whitefield,Murder,9,12.966037603194774,77.75159288788431
Jayanagar,Murder,5,12.922121986385502,77.58881821169825
BTM Layout,Burglary,9,12.921142139489929,77.60816662661465
BTM Layout,Assault,5,12.913315182808342,77.61297329180884
Electronic City,Theft,6,12.841132596379165,77.65964555490315
Koramangala,Pickpocket,10,12.932153183498011,77.62158854462895
Electronic City,Burglary,10,12.84110349906399,77.65667981464007
Rajajinagar,Burglary,4,12.993155323772063,77.55356041490599
BTM Layout,Theft,5,12.91310908444292,77.60982110158129
Hebbal,Molestation,4,13.033655186534148,77.59421658503057
Indiranagar,Murder,7,12.96771615421458,77.64375857592863
Yeshwanthpur,Cyber Crime,1,13.022532062003641,77.56092705609616
Koramangala,Pickpocket,8,12.934304314856586,77.61971305710765
Malleshwaram,Assault,1,13.007294615154906,77.56765652520785
Electronic City,Theft,1,12.842573453062036,77.65888371005914
Jayanagar,Eve-Teasing,6,12.92149465698503,77.59797780364664
Hebbal,Cyber Crime,7,13.032515740656603,77.59427719036508
Bellandur,Theft,3,12.925761605588301,77.68800991396945
Jayanagar,Assault,5,12.925525905447968,77.59406966737563
Malleshwaram,Murder,10,13.007552678813484,77.5728694785671
Vijayanagar,Murder,9,12.974063829558945,77.5562467911109
Yeshwanthpur,Murder,9,13.02167735788218,77.5542950647035
Bellandur,Eve-Teasing,5,12.92854265590799,77.68524680382745
Bellandur,Burglary,6,12.919574854913517,77.68510409661673
Indiranagar,Chain Snatching,10,12.970901441006792,77.64469901361768
Marathahalli,Kidnapping,1,12.952459237645515,77.69709701232904
Basavanagudi,Chain Snatching,8,12.937188531158734,77.57611974167529
Hebbal,Burglary,2,13.040197765259006,77.59311738281899
Frazer Town,Theft,7,12.995535588011263,77.62333891715582
Frazer Town,Molestation,6,13.00311749317267,77.62833160167798
Indiranagar,Murder,1,12.969668166303807,77.64406869921636
MG Road,Kidnapping,9,12.970963963233036,77.60592392333314
Whitefield,Molestation,6,12.966083925522941,77.74752577653281
Frazer Town,Cyber Crime,3,13.002715399555022,77.62038766613337
Ulsoor,Assault,10,12.986103766043685,77.62458681673975
Banashankari,Assault,3,12.910696219362846,77.57456151791989
Yeshwanthpur,Burglary,6,13.019435980168302,77.55307475102003
Banashankari,Molestation,8,12.913000660009429,77.56989104869699
KR Puram,Eve-Teasing,3,13.006035964416316,77.6987629791433
Vijayanagar,Cyber Crime,7,12.968906567274264,77.55833276861742
Frazer Town,Burglary,7,13.001568068894917,77.62832090282919
Vijayanagar,Theft,1,12.96986122919566,77.5598102581388
Vijayanagar,Chain Snatching,5,12.975493645567672,77.55639621875767
Yeshwanthpur,Molestation,10,13.013491100667702,77.55148656020305
HSR Layout,Pickpocket,1,12.913894187595538,77.64147439447612
Ulsoor,Eve-Teasing,9,12.98606046392485,77.63013699683677
Koramangala,Chain Snatching,4,12.935212611058839,77.62780367868638
Vijayanagar,Assault,5,12.969331013959687,77.55829534422729
Yeshwanthpur,Kidnapping,7,13.022048447360326,77.55767731166983
Vijayanagar,Burglary,8,12.967119689819958,77.56055319726529
Ulsoor,Murder,3,12.982646734455418,77.62737012343142
Banashankari,Kidnapping,5,12.912302339461684,77.57120600680693
Koramangala,Chain Snatching,9,12.936030624143578,77.62049781893307
Electronic City,Kidnapping,5,12.841678694102566,77.66181292673836
Frazer Town,Murder,7,12.995183996083462,77.626113225662
Jayanagar,Burglary,7,12.92516581529298,77.59818427421568
Electronic City,Pickpocket,4,12.846379565741213,77.65598761178994
Frazer Town,Theft,6,12.999260928052266,77.62564970436198
Malleshwaram,Kidnapping,7,13.002141520591278,77.57289046639612
Marathahalli,Chain Snatching,1,12.952882392341756,77.70424061804468
Whitefield,Eve-Teasing,5,12.965354136886562,77.75406342299945
Jayanagar,Molestation,4,12.920877624930485,77.59609920738596
BTM Layout,Theft,2,12.920523888939,77.60512521921504
Rajajinagar,Cyber Crime,8,12.987822860376742,77.55705344105188
Banashankari,Theft,6,12.917887728249731,77.57178321458869
KR Puram,Molestation,8,13.013920861270481,77.69053242967163
Bellandur,Burglary,2,12.924944074643815,77.68282746203418
Frazer Town,Burglary,5,13.001207364653695,77.62783462683456
Marathahalli,Murder,8,12.954686630638195,77.70445017944638
Whitefield,Pickpocket,3,12.96954713198009,77.75371678809323
Koramangala,Theft,9,12.931229136874698,77.6198438555344
Marathahalli,Cyber Crime,3,12.95933798130229,77.70188759891175
Vijayanagar,Molestation,1,12.969962169420727,77.557730823827
Indiranagar,Theft,3,12.97175012681976,77.6447185720921
BTM Layout,Theft,7,12.912354987412574,77.61134672611176
HSR Layout,Eve-Teasing,7,12.907730147305925,77.6419777876304
Bellandur,Molestation,4,12.924939564960404,77.68158113953828
Electronic City,Kidnapping,2,12.845329139082974,77.65934326595585
Yeshwanthpur,Murder,5,13.020955683594055,77.55218106125069
HSR Layout,Chain Snatching,1,12.909427650687682,77.63967502943231
Indiranagar,Molestation,3,12.970703392733958,77.64361143225986
Jayanagar,Burglary,1,12.926730038909046,77.59828491205545
Whitefield,Molestation,2,12.967569490455308,77.7503172925014
Whitefield,Theft,5,12.970944161618519,77.75398209631699
Koramangala,Pickpocket,8,12.93511005625205,77.62688239892806
Hebbal,Theft,1,13.039622862003894,77.58634934322862
Frazer Town,Murder,4,12.997547590703732,77.62871308783323
HSR Layout,Assault,9,12.910311372169792,77.63955905424486
Vijayanagar,Cyber Crime,1,12.97400265064422,77.55999120657839
Indiranagar,Molestation,6,12.969515401129176,77.6444709238024
Rajajinagar,Burglary,3,12.990747431679106,77.55190994639422
HSR Layout,Kidnapping,10,12.910518118817478,77.64336576238236
BTM Layout,Cyber Crime,9,12.919250146616868,77.6071211005825
Rajajinagar,Molestation,1,12.989683670848086,77.55295356978651
Rajajinagar,Chain Snatching,2,12.995716549888762,77.55033335774131
Basavanagudi,Pickpocket,5,12.945372069140301,77.56862700882635
Koramangala,Molestation,2,12.938018946046242,77.62739624972089
Ulsoor,Murder,8,12.980174143417337,77.62351722010116
Koramangala,Burglary,1,12.940153033687562,77.62655296148398
Bellandur,Pickpocket,6,12.928771785141347,77.68052482528972
Koramangala,Molestation,1,12.934789835329736,77.62271030090027
BTM Layout,Eve-Teasing,7,12.913085191351339,77.60737707369913
Vijayanagar,Assault,8,12.975000548268493,77.551934308303
Electronic City,Cyber Crime,7,12.84496674126061,77.66028840986995
BTM Layout,Chain Snatching,9,12.918122353609816,77.61506074693239
Rajajinagar,Molestation,4,12.989214343465264,77.55275513318243
Bellandur,Chain Snatching,6,12.927511462786365,77.68437590073854
Rajajinagar,Kidnapping,3,12.995491047919195,77.55582213898487
KR Puram,Burglary,8,13.007883320490839,77.69910258920974
Ulsoor,Assault,4,12.9786370287293,77.62307161428248
Basavanagudi,Theft,3,12.938976468811973,77.5712977502783
Ulsoor,Murder,2,12.984274359120521,77.62981521655215
Vijayanagar,Theft,6,12.969292382923149,77.55423021328207
Bellandur,Kidnapping,1,12.927114946078815,77.68331737541767
Jayanagar,Assault,4,12.924748479410248,77.59529445874172
Ulsoor,Murder,3,12.980285016985423,77.63297072911892
Malleshwaram,Eve-Teasing,7,13.001171673430258,77.56846431541203
Marathahalli,Murder,10,12.95616125136201,77.6977191727197
Koramangala,Burglary,3,12.935645877169025,77.6235716999319
Banashankari,Kidnapping,6,12.91226744222705,77.57389176534832
Hebbal,Murder,4,13.036474935363707,77.59264032199891
Koramangala,Chain Snatching,3,12.93859052609899,77.62440018605977
MG Road,Pickpocket,6,12.972111020139126,77.60660425656361
Basavanagudi,Pickpocket,2,12.941414347999984,77.57562757593679
Basavanagudi,Pickpocket,6,12.939716951587245,77.5730382302636
Ulsoor,Eve-Teasing,4,12.987091733612745,77.6262569747093
HSR Layout,Eve-Teasing,10,12.912783511583086,77.63798794926446
Yeshwanthpur,Eve-Teasing,5,13.019507636204558,77.55108282776229
Whitefield,Molestation,1,12.96953142310257,77.7497922669383
MG Road,Murder,6,12.975727455902783,77.60370528552983
Koramangala,Cyber Crime,5,12.936572425977936,77.6222106745129
Yeshwanthpur,Theft,4,13.022169052970794,77.5537223488897
HSR Layout,Chain Snatching,7,12.912276001496435,77.64581398406243
Banashankari,Cyber Crime,5,12.91581222919743,77.57732442215377
Malleshwaram,Murder,5,13.007155719948807,77.56924857392238
Koramangala,Burglary,10,12.933813125050518,77.62378624854425
Indiranagar,Cyber Crime,8,12.97548741395454,77.64246589663378
Marathahalli,Cyber Crime,1,12.954746146412436,77.702310792413
Jayanagar,Pickpocket,8,12.920020083507138,77.59151764230839
Yeshwanthpur,Murder,2,13.015460691508647,77.55838487486866
Bellandur,Pickpocket,5,12.921222320420888,77.68388565016781
HSR Layout,Burglary,1,12.909786229038717,77.64468351510125
BTM Layout,Eve-Teasing,3,12.913054787275478,77.60578092664169
Marathahalli,Theft,10,12.954486997668848,77.70005627961827
HSR Layout,Theft,2,12.916382997067652,77.64453390332622
Marathahalli,Cyber Crime,10,12.957145948373789,77.70511062835095
Indiranagar,Assault,2,12.971650756479622,77.64349719328264
Malleshwaram,Assault,1,13.006997220584227,77.56784729029036
Malleshwaram,Molestation,9,12.998743162678394,77.56509992292146
Banashankari,Chain Snatching,3,12.914833337007664,77.57797345405586
Banashankari,Theft,9,12.911337817603215,77.5694652185213
MG Road,Theft,7,12.975943870162046,77.60289431518753
KR Puram,Assault,10,13.012068121140452,77.69510777860529
Basavanagudi,Eve-Teasing,1,12.938905917698749,77.57244808393726
Rajajinagar,Murder,4,12.995205146995943,77.55368145560185
Ulsoor,Pickpocket,7,12.98013323414852,77.62505383261527
Vijayanagar,Kidnapping,6,12.969260200036103,77.55534174906646
BTM Layout,Molestation,1,12.917724106174477,77.60845290677824
Whitefield,Theft,4,12.9651152429889,77.75293981665106
MG Road,Pickpocket,8,12.977965640477928,77.60981811177538
Rajajinagar,Assault,2,12.989711324215964,77.55449462803966
